# RTF-Densities and RTF-fields
#     r     Pf_p     Pf_n     rhov_p     rhov_n     Sigma     Omega     Rho     Coulomb     Ef_p     Ef_n
    0.10890E+02    0.10438E-01    0.13724E-01    0.49984E-14    0.11360E-13    0.28765E-10    0.46054E-13   -0.23302E-14    0.39674E-03    0.39674E-03    0.71676E-10
    0.10900E+02    0.10365E-01    0.13628E-01    0.48937E-14    0.11126E-13    0.28009E-10    0.45091E-13   -0.22815E-14    0.39638E-03    0.39638E-03    0.71045E-10
    0.10910E+02    0.10292E-01    0.13534E-01    0.47911E-14    0.10896E-13    0.27272E-10    0.44148E-13   -0.22339E-14    0.39602E-03    0.39602E-03    0.70412E-10
    0.10920E+02    0.10219E-01    0.13440E-01    0.46907E-14    0.10671E-13    0.26555E-10    0.43225E-13   -0.21872E-14    0.39565E-03    0.39565E-03    0.69779E-10
    0.10930E+02    0.10147E-01    0.13347E-01    0.45924E-14    0.10450E-13    0.25857E-10    0.42321E-13   -0.21416E-14    0.39529E-03    0.39529E-03    0.69146E-10
    0.10940E+02    0.10076E-01    0.13254E-01    0.44962E-14    0.10235E-13    0.25177E-10    0.41437E-13   -0.20969E-14    0.39493E-03    0.39493E-03    0.68513E-10
    0.10950E+02    0.10005E-01    0.13163E-01    0.44020E-14    0.10023E-13    0.24515E-10    0.40571E-13   -0.20532E-14    0.39457E-03    0.39457E-03    0.67880E-10
    0.10960E+02    0.99347E-02    0.13071E-01    0.43098E-14    0.98162E-14    0.23870E-10    0.39723E-13   -0.20104E-14    0.39421E-03    0.39421E-03    0.67248E-10
    0.10970E+02    0.98648E-02    0.12981E-01    0.42195E-14    0.96135E-14    0.23243E-10    0.38893E-13   -0.19685E-14    0.39385E-03    0.39385E-03    0.66616E-10
    0.10980E+02    0.97955E-02    0.12891E-01    0.41311E-14    0.94150E-14    0.22632E-10    0.38081E-13   -0.19276E-14    0.39349E-03    0.39349E-03    0.65985E-10
    0.10990E+02    0.97266E-02    0.12801E-01    0.40445E-14    0.92206E-14    0.22037E-10    0.37286E-13   -0.18874E-14    0.39313E-03    0.39313E-03    0.65355E-10
    0.11000E+02    0.96582E-02    0.12713E-01    0.39598E-14    0.90301E-14    0.21458E-10    0.36508E-13   -0.18482E-14    0.39277E-03    0.39278E-03    0.64727E-10
    0.11010E+02    0.95902E-02    0.12625E-01    0.38768E-14    0.88436E-14    0.20894E-10    0.35745E-13   -0.18097E-14    0.39242E-03    0.39242E-03    0.64100E-10
    0.11020E+02    0.95228E-02    0.12537E-01    0.37956E-14    0.86610E-14    0.20345E-10    0.34999E-13   -0.17721E-14    0.39206E-03    0.39206E-03    0.63475E-10
    0.11030E+02    0.94558E-02    0.12450E-01    0.37160E-14    0.84821E-14    0.19810E-10    0.34269E-13   -0.17353E-14    0.39171E-03    0.39171E-03    0.62851E-10
    0.11040E+02    0.93893E-02    0.12364E-01    0.36382E-14    0.83069E-14    0.19289E-10    0.33554E-13   -0.16992E-14    0.39135E-03    0.39135E-03    0.62229E-10
    0.11050E+02    0.93232E-02    0.12278E-01    0.35619E-14    0.81354E-14    0.18782E-10    0.32854E-13   -0.16639E-14    0.39100E-03    0.39100E-03    0.61610E-10
    0.11060E+02    0.92577E-02    0.12193E-01    0.34873E-14    0.79673E-14    0.18289E-10    0.32168E-13   -0.16294E-14    0.39064E-03    0.39064E-03    0.60992E-10
    0.11070E+02    0.91925E-02    0.12108E-01    0.34142E-14    0.78028E-14    0.17808E-10    0.31497E-13   -0.15955E-14    0.39029E-03    0.39029E-03    0.60377E-10
    0.11080E+02    0.91279E-02    0.12025E-01    0.33427E-14    0.76417E-14    0.17340E-10    0.30841E-13   -0.15624E-14    0.38994E-03    0.38994E-03    0.59765E-10
    0.11090E+02    0.90637E-02    0.11941E-01    0.32727E-14    0.74839E-14    0.16885E-10    0.30197E-13   -0.15300E-14    0.38959E-03    0.38959E-03    0.59155E-10
    0.11100E+02    0.89999E-02    0.11858E-01    0.32041E-14    0.73293E-14    0.16441E-10    0.29568E-13   -0.14983E-14    0.38924E-03    0.38924E-03    0.58548E-10
    0.11110E+02    0.89366E-02    0.11776E-01    0.31370E-14    0.71779E-14    0.16009E-10    0.28951E-13   -0.14672E-14    0.38889E-03    0.38889E-03    0.57943E-10
    0.11120E+02    0.88738E-02    0.11695E-01    0.30712E-14    0.70297E-14    0.15589E-10    0.28348E-13   -0.14368E-14    0.38854E-03    0.38854E-03    0.57342E-10
    0.11130E+02    0.88114E-02    0.11613E-01    0.30069E-14    0.68845E-14    0.15179E-10    0.27757E-13   -0.14071E-14    0.38819E-03    0.38819E-03    0.56744E-10
    0.11140E+02    0.87494E-02    0.11533E-01    0.29439E-14    0.67423E-14    0.14780E-10    0.27179E-13   -0.13779E-14    0.38784E-03    0.38784E-03    0.56149E-10
    0.11150E+02    0.86878E-02    0.11453E-01    0.28822E-14    0.66031E-14    0.14392E-10    0.26612E-13   -0.13494E-14    0.38749E-03    0.38749E-03    0.55557E-10
    0.11160E+02    0.86267E-02    0.11374E-01    0.28218E-14    0.64667E-14    0.14014E-10    0.26058E-13   -0.13215E-14    0.38714E-03    0.38714E-03    0.54968E-10
    0.11170E+02    0.85661E-02    0.11295E-01    0.27627E-14    0.63331E-14    0.13646E-10    0.25515E-13   -0.12941E-14    0.38680E-03    0.38680E-03    0.54383E-10
    0.11180E+02    0.85058E-02    0.11216E-01    0.27048E-14    0.62024E-14    0.13287E-10    0.24983E-13   -0.12673E-14    0.38645E-03    0.38645E-03    0.53802E-10
    0.11190E+02    0.84460E-02    0.11139E-01    0.26481E-14    0.60743E-14    0.12938E-10    0.24463E-13   -0.12411E-14    0.38611E-03    0.38611E-03    0.53224E-10
    0.11200E+02    0.83866E-02    0.11062E-01    0.25926E-14    0.59488E-14    0.12599E-10    0.23954E-13   -0.12155E-14    0.38576E-03    0.38576E-03    0.52649E-10
    0.11210E+02    0.83276E-02    0.10985E-01    0.25383E-14    0.58260E-14    0.12268E-10    0.23455E-13   -0.11903E-14    0.38542E-03    0.38542E-03    0.52078E-10
    0.11220E+02    0.82690E-02    0.10909E-01    0.24851E-14    0.57056E-14    0.11945E-10    0.22966E-13   -0.11657E-14    0.38507E-03    0.38507E-03    0.51511E-10
    0.11230E+02    0.82109E-02    0.10833E-01    0.24331E-14    0.55878E-14    0.11632E-10    0.22488E-13   -0.11417E-14    0.38473E-03    0.38473E-03    0.50948E-10
    0.11240E+02    0.81531E-02    0.10758E-01    0.23821E-14    0.54724E-14    0.11326E-10    0.22020E-13   -0.11181E-14    0.38439E-03    0.38439E-03    0.50389E-10
    0.11250E+02    0.80958E-02    0.10683E-01    0.23322E-14    0.53594E-14    0.11029E-10    0.21562E-13   -0.10950E-14    0.38405E-03    0.38405E-03    0.49833E-10
    0.11260E+02    0.80388E-02    0.10609E-01    0.22833E-14    0.52487E-14    0.10739E-10    0.21113E-13   -0.10724E-14    0.38371E-03    0.38371E-03    0.49282E-10
    0.11270E+02    0.79823E-02    0.10536E-01    0.22355E-14    0.51403E-14    0.10457E-10    0.20674E-13   -0.10502E-14    0.38336E-03    0.38336E-03    0.48735E-10
    0.11280E+02    0.79261E-02    0.10463E-01    0.21886E-14    0.50341E-14    0.10183E-10    0.20243E-13   -0.10286E-14    0.38303E-03    0.38303E-03    0.48191E-10
    0.11290E+02    0.78704E-02    0.10390E-01    0.21428E-14    0.49302E-14    0.99152E-11    0.19822E-13   -0.10073E-14    0.38269E-03    0.38269E-03    0.47652E-10
    0.11300E+02    0.78150E-02    0.10318E-01    0.20979E-14    0.48284E-14    0.96549E-11    0.19410E-13   -0.98656E-15    0.38235E-03    0.38235E-03    0.47117E-10
    0.11310E+02    0.77601E-02    0.10247E-01    0.20539E-14    0.47286E-14    0.94013E-11    0.19006E-13   -0.96621E-15    0.38201E-03    0.38201E-03    0.46586E-10
    0.11320E+02    0.77055E-02    0.10176E-01    0.20109E-14    0.46310E-14    0.91545E-11    0.18610E-13   -0.94628E-15    0.38167E-03    0.38167E-03    0.46059E-10
    0.11330E+02    0.76513E-02    0.10105E-01    0.19687E-14    0.45353E-14    0.89141E-11    0.18223E-13   -0.92677E-15    0.38133E-03    0.38133E-03    0.45536E-10
    0.11340E+02    0.75975E-02    0.10035E-01    0.19275E-14    0.44417E-14    0.86800E-11    0.17844E-13   -0.90767E-15    0.38100E-03    0.38100E-03    0.45018E-10
    0.11350E+02    0.75440E-02    0.99655E-02    0.18871E-14    0.43499E-14    0.84521E-11    0.17473E-13   -0.88896E-15    0.38066E-03    0.38066E-03    0.44504E-10
    0.11360E+02    0.74910E-02    0.98964E-02    0.18476E-14    0.42601E-14    0.82303E-11    0.17110E-13   -0.87064E-15    0.38033E-03    0.38033E-03    0.43994E-10
    0.11370E+02    0.74383E-02    0.98278E-02    0.18088E-14    0.41721E-14    0.80142E-11    0.16754E-13   -0.85271E-15    0.37999E-03    0.37999E-03    0.43488E-10
    0.11380E+02    0.73860E-02    0.97597E-02    0.17709E-14    0.40859E-14    0.78039E-11    0.16406E-13   -0.83515E-15    0.37966E-03    0.37966E-03    0.42987E-10
    0.11390E+02    0.73340E-02    0.96920E-02    0.17338E-14    0.40016E-14    0.75991E-11    0.16065E-13   -0.81795E-15    0.37933E-03    0.37933E-03    0.42490E-10
    0.11400E+02    0.72824E-02    0.96248E-02    0.16975E-14    0.39189E-14    0.73996E-11    0.15731E-13   -0.80111E-15    0.37899E-03    0.37899E-03    0.41997E-10
    0.11410E+02    0.72312E-02    0.95581E-02    0.16619E-14    0.38380E-14    0.72054E-11    0.15404E-13   -0.78462E-15    0.37866E-03    0.37866E-03    0.41509E-10
    0.11420E+02    0.71803E-02    0.94919E-02    0.16271E-14    0.37587E-14    0.70163E-11    0.15083E-13   -0.76847E-15    0.37833E-03    0.37833E-03    0.41025E-10
    0.11430E+02    0.71298E-02    0.94261E-02    0.15930E-14    0.36811E-14    0.68321E-11    0.14770E-13   -0.75265E-15    0.37800E-03    0.37800E-03    0.40545E-10
    0.11440E+02    0.70797E-02    0.93607E-02    0.15596E-14    0.36051E-14    0.66528E-11    0.14463E-13   -0.73716E-15    0.37767E-03    0.37767E-03    0.40070E-10
    0.11450E+02    0.70299E-02    0.92958E-02    0.15270E-14    0.35306E-14    0.64782E-11    0.14162E-13   -0.72200E-15    0.37734E-03    0.37734E-03    0.39599E-10
    0.11460E+02    0.69804E-02    0.92314E-02    0.14950E-14    0.34577E-14    0.63082E-11    0.13868E-13   -0.70715E-15    0.37701E-03    0.37701E-03    0.39132E-10
    0.11470E+02    0.69313E-02    0.91674E-02    0.14636E-14    0.33863E-14    0.61426E-11    0.13580E-13   -0.69260E-15    0.37668E-03    0.37668E-03    0.38670E-10
    0.11480E+02    0.68826E-02    0.91038E-02    0.14330E-14    0.33164E-14    0.59815E-11    0.13297E-13   -0.67836E-15    0.37635E-03    0.37635E-03    0.38212E-10
    0.11490E+02    0.68342E-02    0.90407E-02    0.14030E-14    0.32479E-14    0.58246E-11    0.13021E-13   -0.66442E-15    0.37602E-03    0.37602E-03    0.37758E-10
    0.11500E+02    0.67861E-02    0.89781E-02    0.13736E-14    0.31808E-14    0.56717E-11    0.12751E-13   -0.65076E-15    0.37570E-03    0.37570E-03    0.37308E-10
    0.11510E+02    0.67384E-02    0.89158E-02    0.13448E-14    0.31151E-14    0.55229E-11    0.12486E-13   -0.63738E-15    0.37537E-03    0.37537E-03    0.36864E-10
    0.11520E+02    0.66910E-02    0.88540E-02    0.13166E-14    0.30508E-14    0.53780E-11    0.12226E-13   -0.62428E-15    0.37505E-03    0.37505E-03    0.36423E-10
    0.11530E+02    0.66439E-02    0.87926E-02    0.12890E-14    0.29878E-14    0.52369E-11    0.11972E-13   -0.61145E-15    0.37472E-03    0.37472E-03    0.35986E-10
    0.11540E+02    0.65972E-02    0.87317E-02    0.12620E-14    0.29260E-14    0.50995E-11    0.11724E-13   -0.59889E-15    0.37440E-03    0.37440E-03    0.35554E-10
    0.11550E+02    0.65508E-02    0.86712E-02    0.12356E-14    0.28656E-14    0.49657E-11    0.11480E-13   -0.58659E-15    0.37407E-03    0.37407E-03    0.35126E-10
    0.11560E+02    0.65047E-02    0.86110E-02    0.12097E-14    0.28064E-14    0.48355E-11    0.11242E-13   -0.57454E-15    0.37375E-03    0.37375E-03    0.34702E-10
    0.11570E+02    0.64590E-02    0.85514E-02    0.11843E-14    0.27485E-14    0.47086E-11    0.11008E-13   -0.56274E-15    0.37342E-03    0.37342E-03    0.34282E-10
    0.11580E+02    0.64135E-02    0.84921E-02    0.11595E-14    0.26917E-14    0.45852E-11    0.10780E-13   -0.55118E-15    0.37310E-03    0.37310E-03    0.33867E-10
    0.11590E+02    0.63684E-02    0.84332E-02    0.11352E-14    0.26361E-14    0.44649E-11    0.10556E-13   -0.53987E-15    0.37278E-03    0.37278E-03    0.33456E-10
    0.11600E+02    0.63236E-02    0.83748E-02    0.11114E-14    0.25817E-14    0.43478E-11    0.10337E-13   -0.52878E-15    0.37246E-03    0.37246E-03    0.33049E-10
    0.11610E+02    0.62791E-02    0.83167E-02    0.10881E-14    0.25284E-14    0.42338E-11    0.10122E-13   -0.51793E-15    0.37214E-03    0.37214E-03    0.32647E-10
    0.11620E+02    0.62350E-02    0.82591E-02    0.10653E-14    0.24762E-14    0.41227E-11    0.99117E-14   -0.50730E-15    0.37182E-03    0.37182E-03    0.32248E-10
    0.11630E+02    0.61911E-02    0.82018E-02    0.10430E-14    0.24250E-14    0.40146E-11    0.97059E-14   -0.49689E-15    0.37150E-03    0.37150E-03    0.31853E-10
    0.11640E+02    0.61476E-02    0.81449E-02    0.10212E-14    0.23749E-14    0.39093E-11    0.95043E-14   -0.48669E-15    0.37118E-03    0.37118E-03    0.31463E-10
    0.11650E+02    0.61043E-02    0.80885E-02    0.99977E-15    0.23259E-14    0.38068E-11    0.93070E-14   -0.47670E-15    0.37086E-03    0.37086E-03    0.31077E-10
    0.11660E+02    0.60614E-02    0.80324E-02    0.97882E-15    0.22778E-14    0.37069E-11    0.91138E-14   -0.46692E-15    0.37054E-03    0.37054E-03    0.30695E-10
    0.11670E+02    0.60188E-02    0.79767E-02    0.95832E-15    0.22308E-14    0.36098E-11    0.89246E-14   -0.45734E-15    0.37022E-03    0.37022E-03    0.30317E-10
    0.11680E+02    0.59764E-02    0.79214E-02    0.93824E-15    0.21847E-14    0.35151E-11    0.87393E-14   -0.44796E-15    0.36991E-03    0.36991E-03    0.29942E-10
    0.11690E+02    0.59344E-02    0.78665E-02    0.91858E-15    0.21396E-14    0.34230E-11    0.85579E-14   -0.43878E-15    0.36959E-03    0.36959E-03    0.29572E-10
    0.11700E+02    0.58927E-02    0.78120E-02    0.89933E-15    0.20954E-14    0.33332E-11    0.83803E-14   -0.42978E-15    0.36927E-03    0.36927E-03    0.29206E-10
    0.11710E+02    0.58512E-02    0.77578E-02    0.88049E-15    0.20521E-14    0.32458E-11    0.82063E-14   -0.42097E-15    0.36896E-03    0.36896E-03    0.28844E-10
    0.11720E+02    0.58101E-02    0.77041E-02    0.86204E-15    0.20098E-14    0.31607E-11    0.80360E-14   -0.41233E-15    0.36864E-03    0.36864E-03    0.28486E-10
    0.11730E+02    0.57692E-02    0.76507E-02    0.84398E-15    0.19683E-14    0.30778E-11    0.78692E-14   -0.40388E-15    0.36833E-03    0.36833E-03    0.28131E-10
    0.11740E+02    0.57286E-02    0.75976E-02    0.82629E-15    0.19276E-14    0.29971E-11    0.77058E-14   -0.39560E-15    0.36802E-03    0.36802E-03    0.27781E-10
    0.11750E+02    0.56883E-02    0.75449E-02    0.80898E-15    0.18878E-14    0.29186E-11    0.75459E-14   -0.38749E-15    0.36770E-03    0.36770E-03    0.27434E-10
    0.11760E+02    0.56483E-02    0.74926E-02    0.79203E-15    0.18488E-14    0.28421E-11    0.73893E-14   -0.37955E-15    0.36739E-03    0.36739E-03    0.27091E-10
    0.11770E+02    0.56086E-02    0.74407E-02    0.77543E-15    0.18106E-14    0.27676E-11    0.72359E-14   -0.37177E-15    0.36708E-03    0.36708E-03    0.26752E-10
    0.11780E+02    0.55691E-02    0.73891E-02    0.75919E-15    0.17732E-14    0.26950E-11    0.70858E-14   -0.36415E-15    0.36677E-03    0.36677E-03    0.26416E-10
    0.11790E+02    0.55300E-02    0.73379E-02    0.74328E-15    0.17366E-14    0.26244E-11    0.69388E-14   -0.35669E-15    0.36646E-03    0.36646E-03    0.26085E-10
    0.11800E+02    0.54911E-02    0.72870E-02    0.72771E-15    0.17008E-14    0.25556E-11    0.67948E-14   -0.34938E-15    0.36615E-03    0.36615E-03    0.25757E-10
    0.11810E+02    0.54524E-02    0.72365E-02    0.71246E-15    0.16656E-14    0.24887E-11    0.66538E-14   -0.34222E-15    0.36583E-03    0.36583E-03    0.25433E-10
    0.11820E+02    0.54141E-02    0.71864E-02    0.69753E-15    0.16312E-14    0.24234E-11    0.65157E-14   -0.33521E-15    0.36553E-03    0.36553E-03    0.25112E-10
    0.11830E+02    0.53760E-02    0.71365E-02    0.68291E-15    0.15975E-14    0.23599E-11    0.63805E-14   -0.32834E-15    0.36522E-03    0.36522E-03    0.24795E-10
    0.11840E+02    0.53382E-02    0.70871E-02    0.66860E-15    0.15645E-14    0.22981E-11    0.62481E-14   -0.32162E-15    0.36491E-03    0.36491E-03    0.24482E-10
    0.11850E+02    0.53006E-02    0.70379E-02    0.65459E-15    0.15322E-14    0.22378E-11    0.61185E-14   -0.31503E-15    0.36460E-03    0.36460E-03    0.24172E-10
    0.11860E+02    0.52634E-02    0.69892E-02    0.64088E-15    0.15006E-14    0.21792E-11    0.59915E-14   -0.30858E-15    0.36429E-03    0.36429E-03    0.23866E-10
    0.11870E+02    0.52263E-02    0.69407E-02    0.62745E-15    0.14696E-14    0.21221E-11    0.58672E-14   -0.30226E-15    0.36399E-03    0.36399E-03    0.23563E-10
    0.11880E+02    0.51896E-02    0.68926E-02    0.61431E-15    0.14392E-14    0.20665E-11    0.57455E-14   -0.29607E-15    0.36368E-03    0.36368E-03    0.23264E-10
    0.11890E+02    0.51531E-02    0.68448E-02    0.60143E-15    0.14095E-14    0.20124E-11    0.56263E-14   -0.29001E-15    0.36337E-03    0.36337E-03    0.22968E-10
    0.11900E+02    0.51168E-02    0.67974E-02    0.58883E-15    0.13804E-14    0.19597E-11    0.55096E-14   -0.28407E-15    0.36307E-03    0.36307E-03    0.22675E-10
    0.11910E+02    0.50809E-02    0.67502E-02    0.57650E-15    0.13519E-14    0.19084E-11    0.53953E-14   -0.27825E-15    0.36276E-03    0.36276E-03    0.22386E-10
    0.11920E+02    0.50451E-02    0.67035E-02    0.56442E-15    0.13240E-14    0.18584E-11    0.52834E-14   -0.27256E-15    0.36246E-03    0.36246E-03    0.22100E-10
    0.11930E+02    0.50096E-02    0.66570E-02    0.55259E-15    0.12966E-14    0.18097E-11    0.51738E-14   -0.26698E-15    0.36216E-03    0.36216E-03    0.21818E-10
    0.11940E+02    0.49744E-02    0.66108E-02    0.54101E-15    0.12699E-14    0.17623E-11    0.50665E-14   -0.26151E-15    0.36185E-03    0.36185E-03    0.21539E-10
    0.11950E+02    0.49394E-02    0.65650E-02    0.52967E-15    0.12436E-14    0.17161E-11    0.49614E-14   -0.25616E-15    0.36155E-03    0.36155E-03    0.21263E-10
    0.11960E+02    0.49047E-02    0.65195E-02    0.51858E-15    0.12179E-14    0.16712E-11    0.48585E-14   -0.25092E-15    0.36125E-03    0.36125E-03    0.20991E-10
    0.11970E+02    0.48702E-02    0.64743E-02    0.50771E-15    0.11928E-14    0.16274E-11    0.47577E-14   -0.24578E-15    0.36094E-03    0.36094E-03    0.20721E-10
    0.11980E+02    0.48359E-02    0.64294E-02    0.49707E-15    0.11682E-14    0.15848E-11    0.46590E-14   -0.24075E-15    0.36064E-03    0.36064E-03    0.20455E-10
    0.11990E+02    0.48019E-02    0.63849E-02    0.48666E-15    0.11440E-14    0.15433E-11    0.45624E-14   -0.23582E-15    0.36034E-03    0.36034E-03    0.20192E-10
    0.12000E+02    0.47681E-02    0.63406E-02    0.47646E-15    0.11204E-14    0.15029E-11    0.44678E-14   -0.23100E-15    0.36004E-03    0.36004E-03    0.19932E-10
    0.12010E+02    0.47346E-02    0.62966E-02    0.46648E-15    0.10973E-14    0.14636E-11    0.43751E-14   -0.22627E-15    0.35974E-03    0.35974E-03    0.19675E-10
    0.12020E+02    0.47013E-02    0.62530E-02    0.45670E-15    0.10746E-14    0.14252E-11    0.42844E-14   -0.22164E-15    0.35944E-03    0.35944E-03    0.19421E-10
    0.12030E+02    0.46682E-02    0.62096E-02    0.44713E-15    0.10524E-14    0.13879E-11    0.41955E-14   -0.21711E-15    0.35914E-03    0.35914E-03    0.19171E-10
    0.12040E+02    0.46354E-02    0.61666E-02    0.43776E-15    0.10307E-14    0.13516E-11    0.41085E-14   -0.21266E-15    0.35885E-03    0.35885E-03    0.18923E-10
    0.12050E+02    0.46028E-02    0.61238E-02    0.42859E-15    0.10094E-14    0.13162E-11    0.40233E-14   -0.20831E-15    0.35855E-03    0.35855E-03    0.18678E-10
    0.12060E+02    0.45704E-02    0.60814E-02    0.41961E-15    0.98854E-15    0.12817E-11    0.39399E-14   -0.20405E-15    0.35825E-03    0.35825E-03    0.18436E-10
    0.12070E+02    0.45383E-02    0.60392E-02    0.41082E-15    0.96813E-15    0.12482E-11    0.38582E-14   -0.19988E-15    0.35795E-03    0.35795E-03    0.18198E-10
    0.12080E+02    0.45063E-02    0.59974E-02    0.40221E-15    0.94814E-15    0.12155E-11    0.37782E-14   -0.19579E-15    0.35766E-03    0.35766E-03    0.17962E-10
    0.12090E+02    0.44746E-02    0.59558E-02    0.39379E-15    0.92856E-15    0.11837E-11    0.36998E-14   -0.19178E-15    0.35736E-03    0.35736E-03    0.17728E-10
    0.12100E+02    0.44432E-02    0.59145E-02    0.38554E-15    0.90938E-15    0.11527E-11    0.36231E-14   -0.18786E-15    0.35707E-03    0.35707E-03    0.17498E-10
    0.12110E+02    0.44119E-02    0.58735E-02    0.37746E-15    0.89060E-15    0.11225E-11    0.35480E-14   -0.18402E-15    0.35677E-03    0.35677E-03    0.17271E-10
    0.12120E+02    0.43809E-02    0.58328E-02    0.36955E-15    0.87220E-15    0.10931E-11    0.34744E-14   -0.18026E-15    0.35648E-03    0.35648E-03    0.17046E-10
    0.12130E+02    0.43501E-02    0.57924E-02    0.36180E-15    0.85419E-15    0.10645E-11    0.34024E-14   -0.17657E-15    0.35618E-03    0.35618E-03    0.16824E-10
    0.12140E+02    0.43195E-02    0.57522E-02    0.35422E-15    0.83655E-15    0.10366E-11    0.33318E-14   -0.17296E-15    0.35589E-03    0.35589E-03    0.16604E-10
    0.12150E+02    0.42891E-02    0.57123E-02    0.34680E-15    0.81927E-15    0.10094E-11    0.32627E-14   -0.16942E-15    0.35560E-03    0.35560E-03    0.16388E-10
    0.12160E+02    0.42589E-02    0.56727E-02    0.33953E-15    0.80235E-15    0.98300E-12    0.31951E-14   -0.16596E-15    0.35531E-03    0.35531E-03    0.16174E-10
    0.12170E+02    0.42290E-02    0.56334E-02    0.33242E-15    0.78578E-15    0.95726E-12    0.31288E-14   -0.16256E-15    0.35501E-03    0.35501E-03    0.15963E-10
    0.12180E+02    0.41992E-02    0.55944E-02    0.32546E-15    0.76955E-15    0.93220E-12    0.30640E-14   -0.15924E-15    0.35472E-03    0.35472E-03    0.15754E-10
    0.12190E+02    0.41697E-02    0.55556E-02    0.31864E-15    0.75366E-15    0.90779E-12    0.30004E-14   -0.15598E-15    0.35443E-03    0.35443E-03    0.15548E-10
    0.12200E+02    0.41404E-02    0.55171E-02    0.31196E-15    0.73810E-15    0.88403E-12    0.29382E-14   -0.15279E-15    0.35414E-03    0.35414E-03    0.15344E-10
    0.12210E+02    0.41112E-02    0.54788E-02    0.30542E-15    0.72285E-15    0.86088E-12    0.28773E-14   -0.14967E-15    0.35385E-03    0.35385E-03    0.15143E-10
    0.12220E+02    0.40823E-02    0.54409E-02    0.29902E-15    0.70792E-15    0.83834E-12    0.28177E-14   -0.14661E-15    0.35356E-03    0.35356E-03    0.14944E-10
    0.12230E+02    0.40536E-02    0.54031E-02    0.29276E-15    0.69330E-15    0.81638E-12    0.27592E-14   -0.14361E-15    0.35327E-03    0.35327E-03    0.14748E-10
    0.12240E+02    0.40251E-02    0.53657E-02    0.28662E-15    0.67898E-15    0.79501E-12    0.27020E-14   -0.14068E-15    0.35298E-03    0.35298E-03    0.14555E-10
    0.12250E+02    0.39968E-02    0.53285E-02    0.28062E-15    0.66496E-15    0.77419E-12    0.26460E-14   -0.13780E-15    0.35269E-03    0.35269E-03    0.14363E-10
    0.12260E+02    0.39687E-02    0.52915E-02    0.27474E-15    0.65123E-15    0.75392E-12    0.25912E-14   -0.13498E-15    0.35241E-03    0.35241E-03    0.14174E-10
    0.12270E+02    0.39408E-02    0.52549E-02    0.26898E-15    0.63778E-15    0.73419E-12    0.25374E-14   -0.13222E-15    0.35212E-03    0.35212E-03    0.13988E-10
    0.12280E+02    0.39130E-02    0.52184E-02    0.26335E-15    0.62461E-15    0.71497E-12    0.24848E-14   -0.12952E-15    0.35183E-03    0.35183E-03    0.13804E-10
    0.12290E+02    0.38855E-02    0.51823E-02    0.25783E-15    0.61171E-15    0.69625E-12    0.24333E-14   -0.12687E-15    0.35155E-03    0.35155E-03    0.13622E-10
    0.12300E+02    0.38582E-02    0.51463E-02    0.25243E-15    0.59908E-15    0.67803E-12    0.23829E-14   -0.12428E-15    0.35126E-03    0.35126E-03    0.13442E-10
    0.12310E+02    0.38311E-02    0.51107E-02    0.24714E-15    0.58670E-15    0.66027E-12    0.23335E-14   -0.12174E-15    0.35098E-03    0.35098E-03    0.13265E-10
    0.12320E+02    0.38041E-02    0.50752E-02    0.24196E-15    0.57459E-15    0.64299E-12    0.22851E-14   -0.11925E-15    0.35069E-03    0.35069E-03    0.13090E-10
    0.12330E+02    0.37773E-02    0.50401E-02    0.23689E-15    0.56272E-15    0.62615E-12    0.22377E-14   -0.11681E-15    0.35041E-03    0.35041E-03    0.12917E-10
    0.12340E+02    0.37508E-02    0.50051E-02    0.23193E-15    0.55110E-15    0.60975E-12    0.21914E-14   -0.11443E-15    0.35012E-03    0.35012E-03    0.12746E-10
    0.12350E+02    0.37244E-02    0.49704E-02    0.22707E-15    0.53971E-15    0.59379E-12    0.21459E-14   -0.11209E-15    0.34984E-03    0.34984E-03    0.12578E-10
    0.12360E+02    0.36982E-02    0.49360E-02    0.22231E-15    0.52857E-15    0.57824E-12    0.21014E-14   -0.10980E-15    0.34956E-03    0.34956E-03    0.12411E-10
    0.12370E+02    0.36722E-02    0.49017E-02    0.21765E-15    0.51765E-15    0.56311E-12    0.20579E-14   -0.10755E-15    0.34927E-03    0.34927E-03    0.12247E-10
    0.12380E+02    0.36464E-02    0.48678E-02    0.21309E-15    0.50696E-15    0.54837E-12    0.20152E-14   -0.10536E-15    0.34899E-03    0.34899E-03    0.12085E-10
    0.12390E+02    0.36207E-02    0.48340E-02    0.20863E-15    0.49649E-15    0.53401E-12    0.19735E-14   -0.10320E-15    0.34871E-03    0.34871E-03    0.11924E-10
    0.12400E+02    0.35952E-02    0.48005E-02    0.20425E-15    0.48624E-15    0.52003E-12    0.19326E-14   -0.10109E-15    0.34843E-03    0.34843E-03    0.11766E-10
    0.12410E+02    0.35700E-02    0.47672E-02    0.19997E-15    0.47620E-15    0.50642E-12    0.18925E-14   -0.99028E-16    0.34815E-03    0.34815E-03    0.11610E-10
    0.12420E+02    0.35448E-02    0.47342E-02    0.19578E-15    0.46636E-15    0.49316E-12    0.18533E-14   -0.97004E-16    0.34787E-03    0.34787E-03    0.11456E-10
