# RTF-Densities and RTF-fields
#     r     Pf_p     Pf_n     rhov_p     rhov_n     Sigma     Omega     Rho     Coulomb     Ef_p     Ef_n
    0.53000E+00    0.23578E+03    0.24562E+03    0.57615E-01    0.65129E-01    0.29855E+00    0.24558E+00   -0.19663E-02    0.25448E-02   -0.10307E-01   -0.54550E-02
    0.54000E+00    0.23570E+03    0.24554E+03    0.57556E-01    0.65068E-01    0.29824E+00    0.24532E+00   -0.19659E-02    0.25430E-02   -0.10307E-01   -0.54552E-02
    0.55000E+00    0.23562E+03    0.24546E+03    0.57496E-01    0.65006E-01    0.29792E+00    0.24505E+00   -0.19654E-02    0.25410E-02   -0.10307E-01   -0.54554E-02
    0.56000E+00    0.23554E+03    0.24538E+03    0.57434E-01    0.64942E-01    0.29760E+00    0.24478E+00   -0.19648E-02    0.25391E-02   -0.10307E-01   -0.54556E-02
    0.57000E+00    0.23545E+03    0.24530E+03    0.57372E-01    0.64878E-01    0.29727E+00    0.24450E+00   -0.19643E-02    0.25371E-02   -0.10307E-01   -0.54558E-02
    0.58000E+00    0.23536E+03    0.24522E+03    0.57308E-01    0.64812E-01    0.29694E+00    0.24422E+00   -0.19638E-02    0.25351E-02   -0.10307E-01   -0.54561E-02
    0.59000E+00    0.23527E+03    0.24513E+03    0.57243E-01    0.64745E-01    0.29660E+00    0.24393E+00   -0.19633E-02    0.25331E-02   -0.10307E-01   -0.54563E-02
    0.60000E+00    0.23518E+03    0.24505E+03    0.57176E-01    0.64676E-01    0.29625E+00    0.24364E+00   -0.19627E-02    0.25310E-02   -0.10307E-01   -0.54565E-02
    0.61000E+00    0.23509E+03    0.24496E+03    0.57109E-01    0.64607E-01    0.29590E+00    0.24334E+00   -0.19622E-02    0.25289E-02   -0.10308E-01   -0.54567E-02
    0.62000E+00    0.23500E+03    0.24487E+03    0.57040E-01    0.64536E-01    0.29554E+00    0.24304E+00   -0.19616E-02    0.25267E-02   -0.10308E-01   -0.54569E-02
    0.63000E+00    0.23490E+03    0.24478E+03    0.56971E-01    0.64464E-01    0.29518E+00    0.24273E+00   -0.19610E-02    0.25245E-02   -0.10308E-01   -0.54571E-02
    0.64000E+00    0.23480E+03    0.24469E+03    0.56900E-01    0.64391E-01    0.29480E+00    0.24242E+00   -0.19604E-02    0.25223E-02   -0.10308E-01   -0.54573E-02
    0.65000E+00    0.23470E+03    0.24459E+03    0.56827E-01    0.64317E-01    0.29443E+00    0.24210E+00   -0.19598E-02    0.25201E-02   -0.10308E-01   -0.54575E-02
    0.66000E+00    0.23460E+03    0.24450E+03    0.56754E-01    0.64241E-01    0.29404E+00    0.24177E+00   -0.19592E-02    0.25178E-02   -0.10308E-01   -0.54577E-02
    0.67000E+00    0.23450E+03    0.24440E+03    0.56679E-01    0.64164E-01    0.29365E+00    0.24145E+00   -0.19586E-02    0.25155E-02   -0.10308E-01   -0.54579E-02
    0.68000E+00    0.23439E+03    0.24430E+03    0.56603E-01    0.64086E-01    0.29326E+00    0.24111E+00   -0.19580E-02    0.25131E-02   -0.10308E-01   -0.54581E-02
    0.69000E+00    0.23429E+03    0.24420E+03    0.56526E-01    0.64007E-01    0.29286E+00    0.24077E+00   -0.19574E-02    0.25108E-02   -0.10308E-01   -0.54583E-02
    0.70000E+00    0.23418E+03    0.24410E+03    0.56448E-01    0.63926E-01    0.29245E+00    0.24043E+00   -0.19567E-02    0.25083E-02   -0.10308E-01   -0.54585E-02
    0.71000E+00    0.23407E+03    0.24399E+03    0.56368E-01    0.63844E-01    0.29203E+00    0.24008E+00   -0.19561E-02    0.25059E-02   -0.10308E-01   -0.54588E-02
    0.72000E+00    0.23396E+03    0.24388E+03    0.56288E-01    0.63761E-01    0.29161E+00    0.23972E+00   -0.19554E-02    0.25034E-02   -0.10308E-01   -0.54590E-02
    0.73000E+00    0.23384E+03    0.24378E+03    0.56206E-01    0.63677E-01    0.29119E+00    0.23936E+00   -0.19548E-02    0.25009E-02   -0.10308E-01   -0.54592E-02
    0.74000E+00    0.23373E+03    0.24367E+03    0.56122E-01    0.63591E-01    0.29075E+00    0.23899E+00   -0.19541E-02    0.24984E-02   -0.10308E-01   -0.54594E-02
    0.75000E+00    0.23361E+03    0.24356E+03    0.56038E-01    0.63504E-01    0.29032E+00    0.23862E+00   -0.19534E-02    0.24958E-02   -0.10308E-01   -0.54597E-02
    0.76000E+00    0.23349E+03    0.24344E+03    0.55952E-01    0.63415E-01    0.28987E+00    0.23825E+00   -0.19527E-02    0.24932E-02   -0.10308E-01   -0.54599E-02
    0.77000E+00    0.23337E+03    0.24333E+03    0.55865E-01    0.63326E-01    0.28942E+00    0.23786E+00   -0.19520E-02    0.24905E-02   -0.10308E-01   -0.54602E-02
    0.78000E+00    0.23325E+03    0.24321E+03    0.55777E-01    0.63235E-01    0.28896E+00    0.23748E+00   -0.19513E-02    0.24879E-02   -0.10308E-01   -0.54604E-02
    0.79000E+00    0.23312E+03    0.24309E+03    0.55687E-01    0.63143E-01    0.28849E+00    0.23708E+00   -0.19505E-02    0.24852E-02   -0.10309E-01   -0.54607E-02
    0.80000E+00    0.23300E+03    0.24297E+03    0.55596E-01    0.63049E-01    0.28802E+00    0.23668E+00   -0.19498E-02    0.24824E-02   -0.10309E-01   -0.54609E-02
    0.81000E+00    0.23287E+03    0.24285E+03    0.55504E-01    0.62955E-01    0.28755E+00    0.23628E+00   -0.19490E-02    0.24797E-02   -0.10309E-01   -0.54612E-02
    0.82000E+00    0.23274E+03    0.24273E+03    0.55411E-01    0.62858E-01    0.28706E+00    0.23587E+00   -0.19483E-02    0.24769E-02   -0.10309E-01   -0.54614E-02
    0.83000E+00    0.23260E+03    0.24260E+03    0.55316E-01    0.62761E-01    0.28657E+00    0.23546E+00   -0.19475E-02    0.24740E-02   -0.10309E-01   -0.54617E-02
    0.84000E+00    0.23247E+03    0.24248E+03    0.55220E-01    0.62662E-01    0.28608E+00    0.23503E+00   -0.19467E-02    0.24712E-02   -0.10309E-01   -0.54619E-02
    0.85000E+00    0.23233E+03    0.24235E+03    0.55123E-01    0.62562E-01    0.28557E+00    0.23461E+00   -0.19459E-02    0.24683E-02   -0.10309E-01   -0.54622E-02
    0.86000E+00    0.23219E+03    0.24222E+03    0.55025E-01    0.62461E-01    0.28506E+00    0.23418E+00   -0.19451E-02    0.24654E-02   -0.10309E-01   -0.54625E-02
    0.87000E+00    0.23205E+03    0.24208E+03    0.54925E-01    0.62358E-01    0.28455E+00    0.23374E+00   -0.19443E-02    0.24624E-02   -0.10309E-01   -0.54627E-02
    0.88000E+00    0.23191E+03    0.24195E+03    0.54824E-01    0.62254E-01    0.28403E+00    0.23330E+00   -0.19435E-02    0.24594E-02   -0.10309E-01   -0.54630E-02
    0.89000E+00    0.23177E+03    0.24181E+03    0.54721E-01    0.62148E-01    0.28350E+00    0.23285E+00   -0.19427E-02    0.24564E-02   -0.10309E-01   -0.54633E-02
    0.90000E+00    0.23162E+03    0.24167E+03    0.54618E-01    0.62042E-01    0.28296E+00    0.23240E+00   -0.19418E-02    0.24533E-02   -0.10309E-01   -0.54635E-02
    0.91000E+00    0.23147E+03    0.24153E+03    0.54513E-01    0.61934E-01    0.28242E+00    0.23194E+00   -0.19410E-02    0.24503E-02   -0.10309E-01   -0.54638E-02
